,place_name,place_link,place_page
112,기생충 포토존,https://place.map.kakao.com/1939829340,none
113,평창계곡,https://place.map.kakao.com/17932958,none
114,광화문광장 북측광장,https://place.map.kakao.com/25766419,none
115,서울명예도로 송해길,https://place.map.kakao.com/1859752981,none
116,의금부 터,https://place.map.kakao.com/25027904,none
117,우정총국,https://place.map.kakao.com/1198228236,none
118,윤동주하숙집터,https://place.map.kakao.com/26245338,none
119,윤보선가,https://place.map.kakao.com/8032163,"http://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_02&VdkVgwKey=13,04380000,11"
120,북촌마을안내소,https://place.map.kakao.com/103527547,none
121,청와대 대정원,https://place.map.kakao.com/1867364606,none
122,만남의장소,https://place.map.kakao.com/2064815509,none
123,단군성전,https://place.map.kakao.com/8221451,none
124,하늘전망대,https://place.map.kakao.com/492112565,none
125,장면가옥,https://place.map.kakao.com/19700777,none
126,다시세운광장,https://place.map.kakao.com/684651861,http://sewoon.org/
127,창덕궁 종합관람지원센터,https://place.map.kakao.com/1241859723,none
128,대학로거리,https://place.map.kakao.com/7825699,none
129,계동배렴가옥,https://place.map.kakao.com/7889869,https://seoulbrhouse.com/
130,탕춘대성암문,https://place.map.kakao.com/2036480314,none
131,서울도보관광코스 북촌한옥마을,https://place.map.kakao.com/26563934,none
132,인왕산 범바위,https://place.map.kakao.com/24579874,none
133,석파정별당,https://place.map.kakao.com/10485017,none
134,보현봉,https://place.map.kakao.com/7900467,none
135,경복궁 건청궁,https://place.map.kakao.com/17808588,http://www.royalpalace.go.kr/content/data/data_03_11.asp
136,경기감영터,https://place.map.kakao.com/25027878,none
137,창경궁 춘당지,https://place.map.kakao.com/8116578,http://cgg.cha.go.kr/n_cgg
138,종묘 외대문,https://place.map.kakao.com/8023892,none
139,최규식경무관동상,https://place.map.kakao.com/25049222,none
140,원서동빨래터,https://place.map.kakao.com/7922209,none
141,탕춘대성,https://place.map.kakao.com/8110808,"https://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=21,00330000,11"
142,북한산 진흥왕 순수비지,https://place.map.kakao.com/10453489,none
143,전옥서 터,https://place.map.kakao.com/965914719,none
144,밤을 걷는 밤 5화(홍제천),https://place.map.kakao.com/721606675,https://tv.kakao.com/channel/3647494/video
145,서울원각사지십층석탑,https://place.map.kakao.com/8034648,none
146,경복궁 흥례문,https://place.map.kakao.com/8694223,none
147,삼청안내소,https://place.map.kakao.com/1062287768,https://www.chf.or.kr/cms/content/view/246
148,낙원동아구찜거리,https://place.map.kakao.com/25623277,none
149,낙산공원 제2전망광장,https://place.map.kakao.com/17980223,none
150,좌포도청터,https://place.map.kakao.com/900370988,none
151,서울문묘의은행나무,https://place.map.kakao.com/12721154,none
152,청계천,https://place.map.kakao.com/25730252,none
153,원서동고희동가옥,https://place.map.kakao.com/19263470,"http://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?mc=NS_04_03_01&VdkVgwKey=79,00840000,11"
154,동관왕묘,https://place.map.kakao.com/10507526,none
155,종묘 정전,https://place.map.kakao.com/8075132,"http://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=11,02270000,11&amp;pageNo=5_1_1_0"
156,운경고택,https://place.map.kakao.com/578458681,none
157,돌산마을 조망점,https://place.map.kakao.com/490253006,none
158,청와대 상춘재,https://place.map.kakao.com/1867340333,https://www.opencheongwadae.kr/
159,우포도청터,https://place.map.kakao.com/25016732,none
160,석정보름우물,https://place.map.kakao.com/13101403,none
161,동십자각,https://place.map.kakao.com/7840802,none
162,권율장군집터,https://place.map.kakao.com/19182816,none
163,세운옥상,https://place.map.kakao.com/691115620,http://sewoon.org/
164,형조 터,https://place.map.kakao.com/626835356,none
165,창경궁 함양문,https://place.map.kakao.com/17578525,none
166,보현산신각,https://place.map.kakao.com/12747351,none
167,서울도보관광코스 낙산성곽,https://place.map.kakao.com/26563972,none
168,한화불꽃길,https://place.map.kakao.com/27068488,none
169,3.1운동기념터 보신각앞,https://place.map.kakao.com/1131720825,none
170,평창공원 지킴터,https://place.map.kakao.com/18607983,none
171,기린교,https://place.map.kakao.com/1847634961,none
172,청와대 대통령관저,https://place.map.kakao.com/1916370823,https://www.opencheongwadae.kr/introduce-map03
173,지봉선생비우당옛터,https://place.map.kakao.com/8095914,none
174,인왕산 성덕사약수터,https://place.map.kakao.com/15168194,none
175,밤을 걷는 밤 8화(행촌동 송월동),https://place.map.kakao.com/1665892121,https://tv.kakao.com/channel/3647494/video
176,혜화동 필리핀시장,https://place.map.kakao.com/26966296,none
177,서울한양도성,https://place.map.kakao.com/49033380,http://seoulcitywall.seoul.go.kr/
178,창신동족발골목,https://place.map.kakao.com/22301151,none
179,청운대쉼터,https://place.map.kakao.com/420623538,none
180,사직단 대문,https://place.map.kakao.com/7936752,none
181,경복궁 교태전,https://place.map.kakao.com/20893851,none
182,핸더스,https://place.map.kakao.com/1869801000,none
183,창덕궁 인정전,https://place.map.kakao.com/17808585,https://www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=38&check_no=8&c_relation=7&c_relation2=69
184,백악마루,https://place.map.kakao.com/19175155,none
185,경복궁 생물방,https://place.map.kakao.com/997374830,none
186,동대문성곽공원 광장,https://place.map.kakao.com/1367968343,none
187,경복궁 영추문,https://place.map.kakao.com/12373362,none
188,백송터,https://place.map.kakao.com/20660711,none
189,인왕산길,https://place.map.kakao.com/694424070,none
190,남인사 안내소,https://place.map.kakao.com/26600286,none
191,흥례문광장,https://place.map.kakao.com/962657586,none
192,청와대 대통령비서실,https://place.map.kakao.com/1916321688,none
193,운현궁 양관,https://place.map.kakao.com/182424572,http://www.unhyeongung.or.kr/
194,돈화문 한옥마을,https://place.map.kakao.com/2021650815,none
195,3.1독립선언광장,https://place.map.kakao.com/222214311,http://seoul100.kr/
196,청계천,https://place.map.kakao.com/25730245,none
197,필운대,https://place.map.kakao.com/26458510,none
198,서울문묘와성균관,https://place.map.kakao.com/8362509,http://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=5_1_1_0&ccbaCpno=1331101430000
199,경복궁 집옥재,https://place.map.kakao.com/8094398,http://www.royalpalace.go.kr/html/about/about01.jsp?dep1=5&dep2=1
200,밤을 걷는 밤 15화(창신동),https://place.map.kakao.com/795644556,https://tv.kakao.com/channel/3647494/video
201,경복궁 강녕전,https://place.map.kakao.com/8672619,http://www.royalpalace.go.kr/html/data/data_03_04.jsp?dep1=3&dep2=3
202,청계천,https://place.map.kakao.com/25730256,none
203,오간수문지,https://place.map.kakao.com/8016331,none
204,서울 고종 어극 40년 칭경기념비,https://place.map.kakao.com/8189901,"https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=13,01710000,11&pageNo=1_1_1_0"
205,광화문관광안내소,https://place.map.kakao.com/1800037022,http://www.sta.or.kr/new_home/
206,옥인동박노수가옥,https://place.map.kakao.com/8019165,"https://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=31,00010000,11"
207,이화달팽이길,https://place.map.kakao.com/1321024179,none
208,청운대,https://place.map.kakao.com/19175159,none
209,승가봉,https://place.map.kakao.com/8412672,none
210,인왕산 해골바위,https://place.map.kakao.com/855708560,none
211,인왕정,https://place.map.kakao.com/278282828,none
212,우미관터,https://place.map.kakao.com/1033429354,none
213,밤을 걷는 밤 14화(종로),https://place.map.kakao.com/1077299979,https://tv.kakao.com/channel/3647494/video
214,토전김익영도자예술,https://place.map.kakao.com/1786577800,http://toujun.co.kr/
215,창덕궁 금호문,https://place.map.kakao.com/8236759,https://www.cdg.go.kr/bulletin/list01.htm?TbCode=10
216,동망봉,https://place.map.kakao.com/765334850,none
217,인왕산 인왕천약수터,https://place.map.kakao.com/15168195,none
218,경복궁 계조당,https://place.map.kakao.com/235742505,none
219,무계동언덕,https://place.map.kakao.com/2125519668,https://story.kakao.com/
220,광화문124위 시복터,https://place.map.kakao.com/626824962,none
221,창의궁 터,https://place.map.kakao.com/1137469621,none
222,북한산국립공원 사모바위코스,https://place.map.kakao.com/21627108,http://www.knps.or.kr/front/portal/visit/visitCourseMain.do?parkId=121500&menuNo=7020092
223,안평대군이용집터,https://place.map.kakao.com/12765307,none
224,해공신익희가옥,https://place.map.kakao.com/12765630,http://www.haegong.kr/
225,궁궐담장길,https://place.map.kakao.com/269490976,none
226,보성사터,https://place.map.kakao.com/12651377,none
227,단군성전,https://place.map.kakao.com/23289829,none
228,김상옥의거터,https://place.map.kakao.com/971195397,none
229,창덕궁 대조전,https://place.map.kakao.com/7830619,https://www.cdg.go.kr/cms_for_cdg/show.jsp?show_no=41&check_no=8&c_relation=10&c_relation2=72
230,송석원 터,https://place.map.kakao.com/25028660,none
231,네팔음식거리,https://place.map.kakao.com/52725578,none
232,밤을 걷는 밤 1화(청운효자동~옥인동),https://place.map.kakao.com/1703202153,https://tv.kakao.com/program/3647494
233,삼일문,https://place.map.kakao.com/7927382,none
234,흥화문터,https://place.map.kakao.com/25027922,none
235,복정우물,https://place.map.kakao.com/1331477460,none
236,경복궁 자경전,https://place.map.kakao.com/8060262,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121108090000
237,우암송시열집터,https://place.map.kakao.com/8023185,none
238,창경궁 옥천교,https://place.map.kakao.com/18983768,none
239,가회동한씨가옥,https://place.map.kakao.com/8125339,none
240,횡보염상섭 동상,https://place.map.kakao.com/26103117,none
241,맹사성집터,https://place.map.kakao.com/8357298,none
242,경복궁 건춘문,https://place.map.kakao.com/17808597,http://www.royalpalace.go.kr/content/data/data_03.asp
243,조선어학회터,https://place.map.kakao.com/1119422601,none
244,운현궁 노락당,https://place.map.kakao.com/8252251,none
245,자선당유구,https://place.map.kakao.com/26991119,none
246,곡장,https://place.map.kakao.com/19175173,https://tour.jongno.go.kr/tour/main/contents.do?menuNo=400767
247,캠벨선교사주택,https://place.map.kakao.com/605193546,none
248,북촌1경,https://place.map.kakao.com/27323849,none
249,반계윤웅렬별장,https://place.map.kakao.com/12765563,none
250,대성전,https://place.map.kakao.com/8266789,none
251,서울명예도로 감고당길,https://place.map.kakao.com/90988882,none
252,종묘 영녕전,https://place.map.kakao.com/17808941,http://jm.cha.go.kr/
253,북한산 관봉,https://place.map.kakao.com/17766781,none
254,창경궁 통명전,https://place.map.kakao.com/8107810,http://cgg.cha.go.kr/
255,관상감관천대,https://place.map.kakao.com/8184355,"https://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02960000,11"
256,박자혜 산파 터,https://place.map.kakao.com/1158892155,none
257,한성정부유적지 표석,https://place.map.kakao.com/478199032,none
258,서문,https://place.map.kakao.com/7940957,none
259,김상옥열사의상,https://place.map.kakao.com/565427508,none
260,백세청풍 각자,https://place.map.kakao.com/1409580410,none
261,종묘 공민왕신당,https://place.map.kakao.com/8663223,http://jm.cha.go.kr/
262,이준구가옥,https://place.map.kakao.com/8128616,"https://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=31,00020000,11"
263,경복궁 수정전,https://place.map.kakao.com/7957492,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_2_0&ccbaCpno=1121117600000
264,박수근집터,https://place.map.kakao.com/22246150,none
265,서울다누림관광센터,https://place.map.kakao.com/1869650786,http://www.seouldanurim.net/
266,춘생문터,https://place.map.kakao.com/1026748411,none
267,서울테마산책길 삼청공원 순환산책길,https://place.map.kakao.com/1092255883,none
268,창경궁 명정전,https://place.map.kakao.com/7873650,http://cgg.cha.go.kr/agapp/public/html/HtmlPage.do?pg=/cgg/01/virtual_01.jsp&pageNo=79010000&siteCd=CGG
269,창덕궁 규장각,https://place.map.kakao.com/17582650,none
270,홍제천,https://place.map.kakao.com/27499714,none
271,경복궁 흥복전,https://place.map.kakao.com/24890325,none
272,인왕산 석굴암1약수터,https://place.map.kakao.com/15166652,none
273,낙산정,https://place.map.kakao.com/1180286620,none
274,정업원터,https://place.map.kakao.com/1377699512,http://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=1&region=1&searchCondition=%EC%A0%95%EC%97%85%EC%9B%90&searchCondition2=&ccbaKdcd=21&ccbaAsno=00050000&ccbaCtcd=11&ccbaCpno=2111100050000&ccbaCndt=&ccbaLcto=&stCcbaAsdt=&endCcbaAsdt=&header=view&returnUrl=%2Fheri%2Fcul%2FculSelectViewList.do&pageNo=1_1_1_0&p=multiSch&sortType=&sortOrd=&s_kdcdArr=00&s_ctcdArr=00&ccbaPcd1Arr=99&ccbaGcodeArr=00
275,삼청로관광안내소,https://place.map.kakao.com/2013148642,none
