,place_name,place_link,place_page
190,널담은공간 경복궁점,https://place.map.kakao.com/710466111,https://www.instagram.com/nuldam_space/
191,전통찻집지대방,https://place.map.kakao.com/12611451,none
192,커피기업 광화문점,https://place.map.kakao.com/156353882,http://www.tjcoffeecompany.co.kr/
193,카페포엠 북촌점,https://place.map.kakao.com/12969109,https://blog.naver.com/cafe4mgcc
194,카페수달,https://place.map.kakao.com/838446337,https://www.instagram.com/cafe_sudal/
195,커피빈 광화문점,https://place.map.kakao.com/10826403,http://www.coffeebeankorea.com/
196,뮤직컴플렉스서울,https://place.map.kakao.com/365827968,https://www.instagram.com/music.complex.seoul/
197,교호커피,https://place.map.kakao.com/1899449510,https://www.instagram.com/kyohocoffee/
198,귀천,https://place.map.kakao.com/13090299,none
199,티퍼런스 서울,https://place.map.kakao.com/870916614,https://www.teafference.com/
200,차차티클럽 창신한옥,https://place.map.kakao.com/1411540097,https://www.instagram.com/chacha_willbegood
201,스타벅스 종로관철점,https://place.map.kakao.com/12700362,http://www.starbucks.co.kr/
202,궤도,https://place.map.kakao.com/1614503310,https://www.instagram.com/gwehdo/
203,미라보쇼콜라,https://place.map.kakao.com/26436728,http://www.mirabeau.co.kr/
204,얼스어스 서촌점,https://place.map.kakao.com/1368668927,https://instagram.com/earth__us
205,폴바셋 종각역점,https://place.map.kakao.com/1525426810,http://www.baristapaulbassett.co.kr/
206,커피빈 종로관철동점,https://place.map.kakao.com/10827907,http://www.coffeebeankorea.com/
207,피앤티스퀘어,https://place.map.kakao.com/27286357,none
208,라콜롬브,https://place.map.kakao.com/27495065,none
209,스타벅스 경복궁사거리점,https://place.map.kakao.com/14870809,http://www.starbucks.co.kr/
210,라파리나,https://place.map.kakao.com/320328582,https://www.instagram.com/la_farina140
211,카페혜화동,https://place.map.kakao.com/575297453,https://www.instagram.com/cafe_hyehwadong/
212,꽃담 인사동본점,https://place.map.kakao.com/204990635,none
213,빌리엔젤 종각역점,https://place.map.kakao.com/306616527,http://www.billyangel.co.kr/
214,커피빈 인사점,https://place.map.kakao.com/8103497,http://www.coffeebeankorea.com/
215,천년동안도 낙원,https://place.map.kakao.com/680545832,https://app.catchtable.co.kr/ct/shop/chunnyun.nakwon
216,데우스 카페 삼청점,https://place.map.kakao.com/22215108,none
217,파이키,https://place.map.kakao.com/1982729295,https://instagram.com/fikee.seoul?utm_medium=copy_link
218,까치화방 종로점,https://place.map.kakao.com/1408419754,https://www.instagram.com/cachi_flowercafe
219,프롬하츠커피 대학로점,https://place.map.kakao.com/1351801875,https://www.fromheartscoffee.com/
220,조쉬윌로우커피,https://place.map.kakao.com/678993423,https://www.instagram.com/joshwillow_coffee
221,쏘리에스프레소바,https://place.map.kakao.com/1794711302,https://www.instagram.com/sorry_espressobar
222,로쏘,https://place.map.kakao.com/7865105,none
223,카페효제눅,https://place.map.kakao.com/57038613,https://www.instagram.com/hyoje_nook/
224,리본윈도우,https://place.map.kakao.com/1909504946,https://www.instagram.com/ribbonwindow/
225,전통찻집 인사동,https://place.map.kakao.com/20056529,none
226,카페레이서,https://place.map.kakao.com/236356395,none
227,투썸플레이스 동묘앞역점,https://place.map.kakao.com/274795789,https://www.twosome.co.kr/
228,낙원장,https://place.map.kakao.com/1853756930,https://instagram.com/nagwonjang_seoul
229,보드레안다미로,https://place.map.kakao.com/2128792603,http://www.bodre-andamiro.com/
230,이디야커피 종로3가점,https://place.map.kakao.com/10748907,http://www.ediya.com/
231,퍼블릭가든,https://place.map.kakao.com/1427828053,https://www.instagram.com/publicgarden.seoul/
232,오가다 대학로본사점,https://place.map.kakao.com/85249692,http://www.ogada.co.kr/
233,갤러리더스퀘어,https://place.map.kakao.com/821749008,https://www.instagram.com/gallery_the_square
